Model,Feature_Set,Accuracy,F1_Score,ROC_AUC,PR_AUC,Train_Time_s,Inference_Time_s
Linear SVM,PCA-10,0.5283405873230277,0.6913305395495024,0.5032699196042505,0.5315021537284244,0.9678490999999667,0.009437751999939792
k-NN,PCA-10,0.5033768572714993,0.5398841251448435,0.49937579054368236,0.5276510220432072,0.12650637499996265,3.060081926999942
Decision Tree,PCA-10,0.502001100605333,0.528300992726325,0.500448673340386,0.5285893951851897,4.913335219999908,0.016937356000084947
Random Forest,PCA-10,0.5032017609685326,0.5683048231790815,0.4966854930196137,0.5268941265689265,7.336985217999995,0.1871493260000534
Gradient Boosting,PCA-10,0.5271649407173946,0.6874038795455673,0.5025994367472969,0.5314926427498057,45.341016696999986,0.036940844000014295
Linear SVM,PCA-10,0.5546245810614777,0.6440664414639509,0.5634965483321429,0.578490863995359,1.1841323290000219,0.010076462000142783
k-NN,PCA-10,0.5918913511079986,0.6260742030845383,0.6177433726688016,0.6086821210069921,0.1435018699999091,3.0408628470001986
Decision Tree,PCA-10,0.5577759991996398,0.5819798094427501,0.5562842801135823,0.5594749850702281,2.7519295239999337,0.014892486999997345
Random Forest,PCA-10,0.6333600120054025,0.6685209054112113,0.6813132129985904,0.6834640274502934,4.758384640000031,0.19913462299996354
Gradient Boosting,PCA-10,0.6120004001800811,0.6756977108811539,0.6559441185829853,0.6620380335671028,45.50481931500008,0.07278795000001992
